interpolated_c1_times,interpolated_c1_x_coords,interpolated_c1_y_coords
12813,-61.47496033546726,15.366468208137551
12814,-61.474959951315725,15.366478202715104
12815,-61.4749595516946,15.36648821915873
12816,-61.47495913660391,15.366498257468432
12817,-61.47495870604361,15.366508317644207
12818,-61.474958260013715,15.36651839968605
12819,-61.47495779851425,15.366528503593972
12820,-61.47495732154519,15.366538629367962
12821,-61.47495682910652,15.366548777008022
12822,-61.474956355647286,15.366558941444321
12823,-61.4749559356165,15.366569117607021
12824,-61.47495556901416,15.366579305496122
12825,-61.47495525584028,15.366589505111621
12826,-61.47495499609484,15.366599716453523
12827,-61.47495478977784,15.36660993952183
12828,-61.47495463688929,15.36662017431653
12829,-61.47495453742918,15.366630420837634
12830,-61.47495449139753,15.366640679085137
12831,-61.47495449879431,15.366650949059041
12832,-61.474954559619555,15.366661230759348
12833,-61.47495467387322,15.366671524186051
12834,-61.47495484155535,15.366681829339159
12835,-61.47495506266592,15.366692146218664
12836,-61.474955337204946,15.366702474824573
12837,-61.47495566517241,15.366712815156877
12838,-61.474956046568316,15.366723167215584
12839,-61.47495648139267,15.366733531000692
12840,-61.474956969645476,15.3667439065122
12841,-61.47495751132673,15.36675429375011
12842,-61.47495810643643,15.366764692714423
12843,-61.474958754974566,15.366775103405129
12844,-61.47495945694114,15.366785525822241
12845,-61.47496021233618,15.36679595996575
12846,-61.47496102115968,15.366806405835666
12847,-61.474961883411595,15.366816863431978
12848,-61.47496279909198,15.366827332754692
12849,-61.474963768200794,15.366837813803802
12850,-61.47496479073806,15.366848306579318
12851,-61.474965866703776,15.366858811081231
12852,-61.474966996097926,15.366869327309546
12853,-61.47496817892054,15.366879855264262
12854,-61.47496941517159,15.366890394945377
12855,-61.47497070485108,15.366900946352894
12856,-61.47497204795903,15.366911509486808
12857,-61.47497344449542,15.366922084347127
12858,-61.47497489446026,15.366932670933846
12859,-61.474976397853524,15.366943269246962
12860,-61.47497795467526,15.36695387928648
12861,-61.474979564925434,15.366964501052399
12862,-61.474981228604065,15.366975134544722
12863,-61.47498294571113,15.366985779763441
12864,-61.47498471624665,15.366996436708563
12865,-61.47498654021061,15.367007105380083
12866,-61.474988417603,15.367017785778003
12867,-61.47499034842386,15.367028477902327
12868,-61.47499233267315,15.36703918175305
12869,-61.474994370350906,15.367049897330173
12870,-61.47499646145708,15.367060624633696
12871,-61.474998605991736,15.367071363663623
12872,-61.47500080395481,15.367082114419945
12873,-61.47500305534635,15.367092876902671
12874,-61.47500536016632,15.367103651111796
12875,-61.475007718414744,15.367114437047324
12876,-61.47501013009161,15.367125234709249
12877,-61.47501259519692,15.367136044097577
12878,-61.475015113730684,15.367146865212305
12879,-61.4750176856929,15.367157698053434
12880,-61.475020311083554,15.367168542620961
12881,-61.47502298990265,15.367179398914892
12882,-61.47502572215019,15.367190266935221
12883,-61.47502850782619,15.367201146681953
12884,-61.47503134693062,15.367212038155081
